date,data
20210101,2767
20210102,2936
20210103,3037
20210104,3032
20210105,3067
20210106,3102
20210107,3102
20210108,3106
20210109,3201
20210110,2906
20210111,3093
20210112,3116
20210113,3114
20210114,3132
20210115,3309
20210116,3046
20210117,3034
20210118,3157
20210119,3158
20210120,3150
20210121,3074
20210122,3097
20210123,3203
20210124,3073
20210125,3269
20210126,3219
20210127,3064
20210128,3286
20210129,3203
20210130,3447
20210131,2906
20210201,2938
20210202,3046
20210203,3006
20210204,3132
20210205,3060
20210206,3066
20210207,2763
20210208,3047
20210209,2880
20210210,2887
20210211,2833
20210212,2992
20210213,3024
20210214,2911
20210215,2644
20210216,3001
20210217,2824
20210218,2907
20210219,2885
20210220,2975
20210221,3139
20210222,2989
20210223,3109
20210224,3049
20210225,3028
20210226,3041
20210227,2758
20210228,2672
20210301,2832
20210302,3221
20210303,3075
20210304,3088
20210305,3268
20210306,2805
20210307,2751
20210308,3110
20210309,3048
20210310,3055
20210311,3076
20210312,3272
20210313,3075
20210314,2933
20210315,3075
20210316,3087
20210317,3183
20210318,3214
20210319,3137
20210320,2838
20210321,3186
20210322,3225
20210323,3537
20210324,3059
20210325,3272
20210326,3279
20210327,3201
20210328,2919
20210329,3181
20210330,3262
20210331,3229
20210401,3470
20210402,3160
20210403,3057
20210404,2995
20210405,2872
20210406,3201
20210407,3247
20210408,3298
20210409,3211
20210410,2966
20210411,2848
20210412,3205
20210413,3195
20210414,3235
20210415,3208
20210416,3320
20210417,2883
20210418,2863
20210419,3091
20210420,3214
20210421,3302
20210422,3285
20210423,3334
20210424,2989
20210425,2911
20210426,3197
20210427,3474
20210428,3169
20210429,3296
20210430,3058
20210501,2884
20210502,2975
20210503,3234
20210504,3360
20210505,3578
20210506,3465
20210507,3518
20210508,3305
20210509,2975
20210510,3519
20210511,3611
20210512,3669
20210513,3682
20210514,3344
20210515,3507
20210516,3306
20210517,1437
20210518,3095
20210519,2880
20210520,2570
20210521,2882
20210522,3653
20210523,2244
20210524,2285
20210525,2797
20210526,2388
20210527,2523
20210528,2326
20210529,4990
20210530,3604
20210531,4077
20210601,3562
20210602,3989
20210603,3799
20210604,3726
20210605,3987
20210606,4063
20210607,4602
20210608,3775
20210609,3914
20210610,3749
20210611,2900
20210612,3046
20210613,2729
20210614,3273
20210615,3750
20210616,3715
20210617,3833
20210618,3848
20210619,4685
20210620,4156
20210621,3986
20210622,3589
20210623,3901
20210624,4694
20210625,5589
20210626,4203
20210627,4320
20210628,5005
20210629,5282
20210630,5987
20210701,6038
20210702,4602
20210703,4326
20210704,4525
20210705,2268
20210706,3924
20210707,3799
20210708,3805
20210709,3858
20210710,3811
20210711,3394
20210712,3464
20210713,2872
20210714,3832
20210715,4013
20210716,4235
20210717,4113
20210718,4457
20210719,3338
20210720,4042
20210721,5476
20210722,5400
20210723,5657
20210724,4373
20210725,3494
20210726,4518
20210727,3950
20210728,3033
20210729,3834
20210730,3833
20210731,5201
20210801,5486
20210802,4516
20210803,5591
20210804,4495
20210805,4526
20210806,4637
20210807,3438
20210808,4066
20210809,4845
20210810,4897
20210811,5975
20210812,5950
20210813,5481
20210814,5364
20210815,3483
20210816,4420
20210817,4393
20210818,4364
20210819,4913
20210820,5119
20210821,4736
20210822,3853
20210823,4656
20210824,3983
20210825,3951
20210826,4487
20210827,4788
20210828,5328
20210829,4682
20210830,3749
20210831,4829
20210901,3849
20210902,4267
20210903,3969
20210904,5140
20210905,4562
20210906,3883
20210907,3843
20210908,3860
20210909,3902
20210910,3303
20210911,3720
20210912,4008
20210913,3846
20210914,3958
20210915,3899
20210916,4841
20210917,4647
20210918,4609
20210919,3153
20210920,6911
20210921,6556
20210922,3816
20210923,3133
20210924,4457
20210925,5348
20210926,3209
20210927,4395
20210928,5268
20210929,4843
20210930,5212
20211001,3175
20211002,5235
20211003,3317
20211004,3756
20211005,2670
20211006,2327
20211007,1629
20211008,1854
20211009,5140
20211010,3642
20211011,2614
20211012,2384
20211013,2572
20211014,2884
20211015,2808
20211016,5663
20211017,6547
20211018,5902
20211019,5502
20211020,5030
20211021,6040
20211022,3899
20211023,4684
20211024,5049
20211025,4043
20211026,3471
20211027,3915
20211028,6817
20211029,5412
20211030,3806
20211031,4487
20211101,3357
20211102,2949
20211103,4206
20211104,3767
20211105,2818
20211106,5471
20211107,2584
20211108,5417
20211109,3914
20211110,3686
20211111,3857
20211112,4318
20211113,5117
20211114,4827
20211115,3571
20211116,3899
20211117,3859
20211118,3466
20211119,5704
20211120,4094
20211121,4098
20211122,6608
20211123,4036
20211124,3858
20211125,3937
20211126,4089
20211127,3727
20211128,3435
20211129,2773
20211130,4007
20211201,4556
20211202,3821
20211203,4966
20211204,4418
20211205,3620
20211206,3792
20211207,2841
20211208,4244
20211209,3256
20211210,3531
20211211,3273
20211212,4515
20211213,4083
20211214,3050
20211215,2686
20211216,2864
20211217,6616
20211218,4279
20211219,3428
20211220,2642
20211221,2862
20211222,3057
20211223,2423
20211224,3191
20211225,3035
20211226,3429
20211227,3767
20211228,3252
20211229,2807
20211230,4376
20211231,3927
20220101,3346
20220102,3641
20220103,3184
20220104,2620
20220105,2512
20220106,3209
20220107,3010
20220108,3147
20220109,3158
20220110,2491
20220111,2414
20220112,2220
20220113,2475
20220114,2681
20220115,2293
20220116,3429
20220117,2716
20220118,2425
20220119,3002
20220120,2661
20220121,2179
20220122,3032
20220123,2301
20220124,3167
20220125,2963
20220126,2549
20220127,3464
20220128,4700
20220129,3346
20220130,3087
20220131,3111
20220201,4421
20220202,3233
20220203,3136
20220204,3577
20220205,2931
20220206,3108
20220207,2986
20220208,3395
20220209,2833
20220210,2972
20220211,3343
20220212,2921
20220213,3757
20220214,2966
20220215,2877
20220216,3665
20220217,3043
20220218,3184
20220219,2989
20220220,2972
20220221,2006
20220222,2603
20220223,2567
20220224,2511
20220225,3406
20220226,3437
20220227,3730
20220228,4127
20220301,2510
20220302,3135
20220303,7126
20220304,3261
20220305,4338
20220306,4632
20220307,2527
20220308,3290
20220309,2550
20220310,3088
20220311,3148
20220312,3438
20220313,2839
20220314,2659
20220315,2986
20220316,2859
20220317,2712
20220318,4424
20220319,2675
20220320,3050
20220321,2751
20220322,3735
20220323,3715
20220324,2381
20220325,3394
20220326,3277
20220327,3414
20220328,3069
